card_company,card_name,event,promotions,fee,perform,brand,fee_in,fee_out
우리카드,ALL 우리카드 Infinite,,"ALL 리워드 포인트 14,000적립(40만원 상당) && 아코르플러스 유료 멤버십 무료가입(30만원 상당) && 3,000원 당 최대 5 ALL 리워드 포인트적립",국내전용 500000원  해외겸용 500000원,전월실적없음,VISA,500000,500000
우리카드,DA카드의정석 Ⅱ,,모든가맹점 0.8%할인 && 생활업종 1.3%할인 && 국내 공항라운지 무료이용,국내전용 12000원  해외겸용 12000원,전월실적없음,mastercard,12000,12000
하나카드,1Q Daily+,,"국내가맹점 0.3~1%적립 && 플러스적립 5,000머니적립 && SK주유소 3,000원할인",국내전용 10000원  해외겸용 10000원,전월실적30만원 이상,VISA mastercard JCB,10000,10000
하나카드,#tag1카드 Navy,,아파트관리비 5~10%할인 && 통신요금 5~10%할인 && 주유소 최대 60원/L할인,해외겸용 12000원,전월실적40만원 이상,mastercard UnionPay,12000,12000
하나카드,Any PLUS 카드,,국내가맹점 0.7%할인 && 국내온라인가맹점 1.7%할인 && 해외가맹점 1.7%할인,국내전용 15000원  해외겸용 15000원,전월실적없음,VISA mastercard AMEX UnionPay JCB,15000,15000
하나카드,내맘대로 쁨 카드,,EV충전 20%하나머니 적립 && 쇼핑/패션/명품 5%하나머니 적립 && 페이결제 최대 1.5%하나머니 적립,국내전용 12000원  해외겸용 12000원,전월실적50만원 이상,mastercard,12000,12000
하나카드,Smart Any 카드(스마트애니),,국내가맹점 0.8%할인 && 온라인가맹점 1.3%할인,국내전용 5000원  해외겸용 5000원,전월실적없음,VISA mastercard UnionPay,5000,5000
하나카드,하나 CLUB H 아메리칸 익스프레스 리저브 카드,,"국내 1,000원당 1마일리지적립 && 해외 1,000원당 2마일리지적립 && 인천공항 라운지 무료입장",해외겸용 150000원,전월실적50만원 이상,AMEX,150000,150000
하나카드,#MY WAY 카드,,"대중교통 건당 300원할인 && 편의점 건당 300원할인 && 디지털구독 건당 3,000원할인",국내전용 20000원  해외겸용 20000원,전월실적20만원 이상,VISA,20000,20000
하나카드,#tag1카드 Orange,,커피 25~50%할인 && 편의점 5~10%할인 && 통신요금 5~10%할인,해외겸용 12000원,전월실적30만원 이상,mastercard UnionPay,12000,12000
하나카드,1Q Shopping+,,"마트,백화점 최대 40,000머니적립 && 플러스적립 5,000머니적립 && 스타벅스,커피빈 4,000원할인",국내전용 10000원  해외겸용 10000원,전월실적30만원 이상,VISA mastercard JCB,10000,10000
하나카드,원더카드 FREE,,국내외가맹점 0.7%할인 && 간편결제 1.2%할인 && 쿠팡/마트/베이커리 2%할인,국내전용 12000원  해외겸용 12000원,전월실적없음,mastercard,12000,12000
하나카드,슈퍼쇼퍼카드,,국내 가맹점 0.7%청구할인 && 국내 온라인 가맹점 1.7%청구할인 && 해외 가맹점 1.7%청구할인,국내전용 15000원  해외겸용 15000원,전월실적없음,mastercard,15000,15000
하나카드,이디야 하나카드,,이디야 멤버스 음료쿠폰 연 12회제공 && 이디야커피 최대 50%청구할인 && 디지털구독 서비스 30%청구할인,해외겸용 15000원,전월실적30만원 이상,VISA,15000,15000
하나카드,트래블로그 신용카드,,국내외가맹점 1%적립 && 해외 가맹점 3%적립 && 항공/면세점/여행 3%적립,국내전용 20000원  해외겸용 20000원,전월실적없음,mastercard,20000,20000
하나카드,원더카드 LIVING,,아파트관리비 10%할인 && 병원&약국 10%할인 && 커피 10%할인,국내전용 19900원  해외겸용 19900원,전월실적40만원 이상,mastercard,19900,19900
하나카드,원더카드 DAILY,,영상 스트리밍 40%청구할인 && 원큐페이 맛집 10%청구할인 && 대중교통 10%청구할인,국내전용 19900원  해외겸용 19900원,전월실적40만원 이상,mastercard,19900,19900
하나카드,원더카드 T,,SK텔레콤/T우주 20%할인 && T멤버십 바코드 결제 20%할인 && SK에너지 10%할인,국내전용 19900원  해외겸용 19900원,전월실적40만원 이상,mastercard,19900,19900
하나카드,원더카드 HAPPY,,국내외가맹점 0.5%할인 && 간편결제 5%할인 && 동물병원 5%할인,국내전용 12000원  해외겸용 12000원,전월실적40만원 이상,mastercard,12000,12000
하나카드,알뜰교통 my pass 마패 신용카드(Hana-BC),,대중교통 20%할인 && 편의점 10%할인 && 커피 10%할인,해외겸용 17000원,전월실적50만원 이상,mastercard UnionPay,17000,17000
하나카드,1Q Global VIVA,,"국제브랜드수수료 1%면제 && 해외가맹점 5~9%적립 && 저가항공,면세점 5~9%적립",국내전용 13000원  해외겸용 15000원,전월실적30만원 이상,mastercard,13000,15000
하나카드,하나멤버스 1Q카드 내맘대로,,점심/배달앱/베이커리 7%적립 && 온/오프라인쇼핑 7%적립 && 커피 30~7%적립,해외겸용 10000원,전월실적30만원 이상,VISA JCB,10000,10000
하나카드,Mile1 하나카드,,국내 6대 저비용 항공사 45 UniMile적립 && 해외·면세점·여행사 35 UniMile적립 && 인천공항 라운지 무료이용,국내전용 20000원  해외겸용 20000원,전월실적없음,UnionPay,20000,20000
하나카드,CLUB SK(클럽 SK)카드,,"SK텔레콤 최대 15,000원청구할인 && SK주유소 최대 150원/L청구할인 && 마트/학원 5~10%청구할인",국내전용 6000원  해외겸용 7000원,전월실적40만원 이상,VISA mastercard AMEX UnionPay,6000,7000
하나카드,하나 스카이패스 아멕스 플래티늄 카드,,국내 이용금액 1천원 당 1마일리지적립 && 해외 이용금액 1천원 당 2마일리지적립 && 인천공항 라운지 무료서비스제공,해외겸용 45000원,전월실적없음,AMEX,45000,45000
하나카드,CLUB Signature SKYPASS 카드,,"연 1회 Special Service제공 && 월 2회/연 6회 LoungeKey제공 && 1,500원당 2~1마일적립",해외겸용 145000원,전월실적없음,VISA UnionPay,145000,145000
하나카드,JADE Classic,JADE Classic 발급 시 3만원 캐시백 이벤트,바우처 최대 10만원제공 && 전세계 공항라운지 연 3회 무료이용 && 국내외 가맹점 1%하나머니 적립,국내전용 115000원  해외겸용 120000원,전월실적없음,VISA,115000,120000
현대카드,현대카드ZERO Edition2(할인형),,모든가맹점 0.7%할인 && 생활필수영역 1.5%할인,국내전용 10000원  해외겸용 10000원,전월실적없음,VISA,10000,10000
현대카드,현대카드 M BOOST,신규회원 연회비 캐시백 이벤트,업종별 0.5~3%기본적립 && 온라인 간편결제 5%적립 && 해외가맹점 5%적립,국내전용 30000원  해외겸용30000원,전월실적50만원 이상,VISA,30000,30000
현대카드,네이버 현대카드,,네이버플러스멤버십 무료이용권 && 네이버플러스멤버십 회원 5%적립 && 그외가맹점 1%적립,국내전용 10000원  해외겸용 10000원,전월실적30만원 이상,VISA,10000,10000
현대카드,American Express® Gold Card,,"매년 연간스페셜 3만MR적립(30만원 상당) && 공항라운지/발레파킹 무료이용 && 1,000원당 최대 3MR적립",해외겸용 300000원,전월실적없음,AMEX,300000,300000
현대카드,대한항공카드 030,,국내외가맹점 1마일리지적립 && 특정업종 2마일리지적립 && 웰컴보너스 3천마일리지적립,국내전용 30000원  해외겸용 30000원,전월실적없음,mastercard,30000,30000
현대카드,the Green Edition2,신규회원 Welcome 이벤트,바우처 10만원제공 && 공항라운지 무료이용 && M포인트 최대 2%적립,국내전용 150000원  해외겸용 150000원,전월실적50만원 이상,VISA,150000,150000
현대카드,the Red Edition5,,바우처 최대 20만원제공 && 공항라운지 무료이용 && M포인트 최대 2%적립,국내전용 300000원  해외겸용 300000원,전월실적50만원 이상,VISA,300000,300000
현대카드,현대카드Z family,,온라인쇼핑 10%할인 && 배달앱 10%할인 && 주유소 100원/L할인,국내전용 10000원  해외겸용 10000원,전월실적40만원 이상,VISA,10000,10000
현대카드,현대카드ZERO Edition2(포인트형),,국내외 가맹점 1%기본적립 && 생활필수영역 2.5%적립,국내전용 10000원  해외겸용 10000원,전월실적없음,VISA,10000,10000
현대카드,현대카드 X BOOST,,모든가맹점 1~1.5%기본할인 && 온라인 간편결제 5%할인 && 해외가맹점 5%할인,국내전용 30000원  해외겸용30000원,전월실적50만원 이상,VISA,30000,30000
현대카드,현대카드 M3 BOOST,신규회원 연회비 캐시백 이벤트,업종별 최대 6%적립 && 온라인 간편결제 5%적립 && 해외가맹점 5%적립,국내전용 90000원  해외겸용90000원,전월실적50만원 이상,VISA,90000,90000
현대카드,현대카드Z work,,커피전문점 50%할인 && 편의점 10%할인 && 온라인 간편결제 10%할인,국내전용 10000원  해외겸용 10000원,전월실적40만원 이상,VISA,10000,10000
